india_date,india_open,close_30,high_30,low_30,vol_30,ret_30,dir_30,close_60,high_60,low_60,vol_60,ret_60,dir_60,prev_close,gap_pct,gap_dir,SP500_ret,SP500_dir,NASDAQ_ret,NASDAQ_dir,DOW_ret,DOW_dir,NIKKEI_ret,NIKKEI_dir,HANGSENG_ret,HANGSENG_dir,SHANGHAI_ret,SHANGHAI_dir,KOSPI_ret,KOSPI_dir,FTSE_ret,FTSE_dir,DAX_ret,DAX_dir,CAC_ret,CAC_dir,ASX200_ret,ASX200_dir,SGX_NIFTY_ret,SGX_NIFTY_dir,global_ref_date,composite,sentiment
2024-11-27,24204.8,24167.15,24268.85,24145.65,0.0,-0.0015554765996826174,-1.0,24202.75,24268.85,24145.65,0.0,-8.469394500261404e-05,-1.0,24194.5,0.000425716588480823,0.0,0.005722005647630368,1.0,0.006269322569991687,1.0,0.002765931326108584,1.0,-0.008719427509811917,-1.0,0.0004286454264001982,1.0,-0.0012264779504383982,-1.0,-0.005516221179449388,-1.0,-0.003992014322492299,-1.0,-0.0056283240779341215,-1.0,-0.008675261124734157,-1.0,-0.006913992284116377,-1.0,-0.01210560206052802,-1.0,2024-11-26,0.004662038461891162,Neutral
2024-11-28,24274.15,24274.7,24323.05,24254.35,0.0,2.265784795757101e-05,1.0,24327.8,24345.75,24254.35,0.0,0.002210170078045897,1.0,24274.900390625,-3.091220202445596e-05,0.0,-0.003801238017440034,-1.0,-0.005936086733931978,-1.0,-0.0030817888760413803,-1.0,-0.007986869829873622,-1.0,0.023170678249983867,1.0,0.015345306851837881,1.0,-0.006864117860451935,-1.0,0.0019616152954200494,1.0,-0.001773968874265619,-1.0,-0.007155453553585933,-1.0,0.005658277206167295,1.0,-0.013818276626254677,-1.0,2024-11-27,0.08930349207694617,Bullish
2024-11-29,23927.15,24003.1,24049.35,23927.15,0.0,0.003174218408794908,1.0,23969.0,24072.15,23927.15,0.0,0.001749059123213527,1.0,23914.150390625,0.0005435948659124289,0.0,-0.003801238017440034,-1.0,-0.005936086733931978,-1.0,-0.0030817888760413803,-1.0,0.005614003387638844,1.0,-0.012047561359927017,-1.0,-0.004254379057679669,-1.0,0.0006431580719459262,1.0,0.0007734798153513633,1.0,0.008513269497838927,1.0,0.005070707519520434,1.0,0.004472576457046129,1.0,-0.013818276626254677,-1.0,2024-11-27,0.02787416000636735,Neutral
2024-12-02,24140.85,24120.55,24154.65,24008.65,0.0,-0.0008408983113684594,-1.0,24118.35,24154.65,24008.65,0.0,-0.0009320301480685229,-1.0,24131.099609375,0.0004040591097311824,0.0,0.005607785488815242,1.0,0.008273110081539414,1.0,0.004216931189664708,1.0,-0.003677465599455032,-1.0,0.0029250039633379465,1.0,0.009332789794105345,1.0,-0.019467638965027012,-1.0,0.0007365610335627881,1.0,0.010332623029177368,1.0,0.007780737999268705,1.0,-0.000959180697315376,-1.0,0.013218770654329193,1.0,2024-11-29,-0.07704087005142754,Bearish
2024-12-03,24367.5,24317.6,24377.9,24280.0,0.0,-0.002047809582435681,-1.0,24336.95,24377.9,24280.0,0.0,-0.0012537190930542433,-1.0,24276.05078125,0.0037670550112966594,1.0,0.0024484564662998753,1.0,0.009666856814682268,1.0,-0.0028645419733592803,-1.0,0.007982308202545862,1.0,0.006521943736319535,1.0,0.011281038525481124,1.0,-0.0005822410804136036,-1.0,0.003089134765345447,1.0,0.01565081479850905,1.0,0.00024606031852192345,1.0,0.0013869034685782822,1.0,0.007958251793868332,1.0,2024-12-02,-0.044753653564852544,Neutral
2024-12-04,24488.75,24562.2,24562.2,24446.85,0.0,0.002999336429993394,1.0,24542.85,24573.2,24446.85,0.0,0.002209177683630179,1.0,24457.150390625,0.0012920397049655005,0.0,0.0004514491145146682,1.0,0.003966251232281781,1.0,-0.001707577821446149,-1.0,0.019106262056469703,1.0,0.010027025655391153,1.0,0.004406674857952764,1.0,0.018586469456062682,1.0,0.005593715528269927,1.0,0.004170384654614834,1.0,0.0025604624094308637,1.0,0.005599001231121337,1.0,0.01630856847010098,1.0,2024-12-03,-0.06019789513186106,Bearish
2024-12-05,24539.15,24473.15,24539.95,24449.5,0.0,-0.0026895797124187265,-1.0,24400.1,24539.95,24396.2,0.0,-0.0056664554395732085,-1.0,24467.44921875,0.0029304559134450112,1.0,0.006051417924264779,1.0,0.01304913283496889,1.0,0.006900886844958265,1.0,0.0007014535056153459,1.0,-0.0001954478069292609,-1.0,-0.004189647539388663,-1.0,-0.014439460920021796,-1.0,-0.0028232390882925174,-1.0,0.010760519315073713,1.0,0.0065964291242404105,1.0,-0.003837530039078829,-1.0,0.009679062659195159,1.0,2024-12-04,-0.07385925050993766,Bearish
2024-12-06,24729.45,24725.7,24742.9,24682.95,0.0,-0.00015164105954641125,-1.0,24650.85,24751.05,24625.25,0.0,-0.003178396608092868,-1.0,24708.400390625,0.0008519211702181857,0.0,-0.0018697756269248078,-1.0,-0.0017663625312623887,-1.0,-0.005516681688021996,-1.0,0.0030351805652966135,1.0,-0.00921979711400911,-1.0,0.0012497817743446493,1.0,-0.00898940841872975,-1.0,0.0016315874008696607,1.0,0.006260343806304469,1.0,0.0037326043514935847,1.0,0.0014535464062808146,1.0,-0.0073158425832492435,-1.0,2024-12-05,0.04331840157337585,Bullish
2024-12-09,24633.9,24644.45,24705.0,24621.85,0.0,0.0004282716094487382,1.0,24584.9,24705.0,24584.9,0.0,-0.0019891288021791106,-1.0,24677.80078125,-0.0017789584104007362,-1.0,0.0024954538421815275,1.0,0.008096835652052103,1.0,-0.002751914437860603,-1.0,-0.007727504478311609,-1.0,0.015613665377093966,1.0,0.010454871898559537,1.0,-0.005606480741801145,-1.0,-0.004886672017287874,-1.0,0.001267687327328737,1.0,0.013142257355751585,1.0,-0.006371756305211029,-1.0,0.0,,2024-12-06,-0.026362958279019758,Neutral
2024-12-10,24652.65,24644.7,24655.2,24593.25,0.0,-0.00032248054468792306,-1.0,24656.7,24677.8,24593.25,0.0,0.00016428254163342572,1.0,24619.0,0.001366830496770846,0.0,-0.006144213927296471,-1.0,-0.006197457524939054,-1.0,-0.005389253256227744,-1.0,0.0017734982522827902,1.0,0.027597119939752224,1.0,-0.0004529840756302139,-1.0,-0.027831706489902297,-1.0,0.005235539326135852,1.0,-0.0018959616438566362,-1.0,0.00717128252329835,1.0,0.0002493331208783811,1.0,-0.0008894536213468474,-1.0,2024-12-09,0.06797846992664379,Bullish
2024-12-11,24620.5,24617.55,24649.0,24597.6,0.0,-0.00011981885014523375,-1.0,24629.15,24649.0,24583.85,0.0,0.00035133323856142057,1.0,24610.05078125,0.00042459151518537666,0.0,-0.002963883313944371,-1.0,-0.0025054464613958327,-1.0,-0.0034706050747019823,-1.0,0.00528793363210367,1.0,-0.005036254256835071,-1.0,0.005915283581665376,1.0,0.02425675379379899,1.0,-0.00858457419132308,-1.0,-0.0008257551118676654,-1.0,-0.011411597911579308,-1.0,-0.0035616763623411707,-1.0,0.00012717792191274668,1.0,2024-12-10,0.03105216715815675,Bullish
2024-12-12,24604.45,24650.2,24675.25,24604.45,0.0,0.0018594197391122336,1.0,24618.85,24675.25,24604.45,0.0,0.0005852599834581881,1.0,24641.80078125,-0.001515748852186954,-1.0,0.008165786048233592,1.0,0.017658665535963847,1.0,-0.0022434893520550947,-1.0,0.00011817703733840723,1.0,-0.007691712242322235,-1.0,0.002871771958195435,1.0,0.010203289290534823,1.0,0.002560168319155398,1.0,0.003443329653659122,1.0,0.003870313656256563,1.0,-0.00469443472238773,-1.0,0.0190742624618514,1.0,2024-12-11,-0.07365039955687333,Bearish
2024-12-13,24498.35,24397.85,24520.8,24380.0,0.0,-0.004102317094824753,-1.0,24353.1,24520.8,24343.7,0.0,-0.005928970726599955,-1.0,24548.69921875,-0.0020509933459751436,-1.0,-0.005414022527810203,-1.0,-0.006591040785879021,-1.0,-0.00531019601698135,-1.0,0.01211285595385636,1.0,0.012006915915346195,1.0,0.008451593405417013,1.0,0.016216968308627733,1.0,0.0012287023938111208,1.0,0.00132894564248498,1.0,-0.0003313792830591522,-1.0,-0.002789193374955534,-1.0,-0.01035687546793107,-1.0,2024-12-12,0.028231789350093482,Bullish
2024-12-16,24753.4,24746.4,24781.25,24681.35,0.0,-0.0002827894349867089,-1.0,24725.65,24781.25,24681.35,0.0,-0.0011210581172687389,-1.0,24768.30078125,-0.0006016069241729605,0.0,-2.6466639124200775e-05,-1.0,0.0011998719560866178,1.0,-0.001959791016112322,-1.0,-0.009503322099559064,-1.0,-0.02087608406929231,-1.0,-0.02011326601545571,-1.0,0.00497149338766989,1.0,-0.0013835751907204097,-1.0,-0.0009962469820476993,-1.0,-0.0015321667170568043,-1.0,-0.004117475420056249,-1.0,0.0008826125330980705,1.0,2024-12-13,0.015086416482483354,Neutral
