date,win,exit_reason,entry_prem,exit_prem,dte,Gap Up,Gap Up Strong,Gap Down,Prev India UP,Prev India DOWN,US UP,US DOWN,SGX UP,SGX DOWN,DAX UP,VIX Rising,VIX Falling,VIX Spike
2024-03-12,False,Stop Loss,76.75,69.08,2,False,False,False,False,True,False,True,False,True,False,True,False,False
2024-03-13,True,Target Hit,76.1,121.76,1,True,False,False,True,False,True,False,True,False,True,False,True,False
2024-03-14,False,Stop Loss,59.85,53.87,0,False,False,False,False,True,False,True,False,True,False,False,True,False
2024-03-15,True,Target Hit,117.85,188.56,6,False,False,True,True,False,False,True,False,True,False,True,False,False
2024-03-19,False,Stop Loss,101.8,91.62,2,False,False,True,True,False,True,False,False,True,False,False,True,False
2024-03-20,True,Target Hit,73.45,117.52,1,False,False,False,False,True,True,False,True,False,True,False,True,False
2024-03-21,False,Stop Loss,35.5,31.95,0,True,True,False,True,False,True,False,True,False,True,False,True,False
2024-03-22,False,Stop Loss,86.8,78.12,6,False,False,True,True,False,True,False,True,False,True,False,True,False
2024-03-26,False,Stop Loss,73.0,65.7,2,False,False,True,True,False,False,True,False,True,True,False,False,False
2024-03-27,False,Stop Loss,50.0,45.0,1,True,False,False,False,True,False,True,True,False,True,False,False,False
2024-03-28,False,Stop Loss,24.15,21.73,0,True,False,False,True,False,True,False,False,True,True,False,True,False
2024-04-02,False,Stop Loss,92.9,83.61,2,False,False,False,True,False,False,True,True,False,False,True,False,False
2024-04-03,False,Stop Loss,58.45,52.61,1,False,False,True,False,True,False,True,False,True,False,True,False,True
2024-04-04,True,Target Hit,43.1,68.96,0,True,True,False,False,True,True,False,True,False,True,False,True,False
2024-04-12,False,11:15 exit,102.3,112.15,6,False,False,True,True,False,True,False,True,False,False,False,True,False
2024-04-16,False,Stop Loss,75.0,67.5,2,False,False,True,False,True,False,True,False,True,True,True,False,True
2024-04-18,True,Target Hit,23.3,37.28,0,True,False,False,False,True,False,True,False,True,True,False,True,False
2024-04-19,False,Stop Loss,146.7,132.03,6,False,False,True,False,True,False,True,False,True,True,False,True,False
2024-04-23,False,Stop Loss,90.35,81.31,2,True,False,False,True,False,True,False,True,False,True,False,True,False
2024-04-24,False,Stop Loss,50.2,45.18,1,True,False,False,True,False,True,False,True,False,True,False,True,False
2024-04-25,False,Stop Loss,38.15,34.34,0,False,False,True,True,False,True,False,False,True,False,False,False,False
2024-04-26,False,11:15 exit,106.3,136.45,6,True,False,False,True,False,False,True,True,False,False,False,True,False
2024-04-30,False,Stop Loss,74.75,67.28,2,True,False,False,True,False,True,False,True,False,False,False,True,False
2024-05-02,False,Stop Loss,37.6,33.84,0,False,False,True,False,True,False,True,False,True,False,False,True,False
2024-05-03,True,Target Hit,108.0,172.8,6,True,True,False,True,False,True,False,False,True,False,False,True,False
2024-05-07,True,Target Hit,105.25,168.4,2,True,False,False,False,True,True,False,True,False,True,False,False,False
2024-05-08,False,Stop Loss,80.7,72.63,1,False,False,True,False,True,True,False,False,True,True,False,True,False
2024-05-09,False,Stop Loss,47.95,43.16,0,False,False,True,False,False,False,True,True,False,True,False,True,False
2024-05-10,False,Stop Loss,123.25,110.92,6,True,False,False,False,True,True,False,True,False,True,False,True,False
2024-05-14,False,Stop Loss,106.85,96.16,2,False,False,False,True,False,False,True,True,False,False,True,False,True
2024-05-15,False,Stop Loss,65.85,59.26,1,True,False,False,True,False,True,False,True,False,False,False,True,False
2024-05-16,True,Target Hit,43.9,70.24,0,True,True,False,False,True,True,False,True,False,True,False,True,False
2024-05-17,False,Stop Loss,116.7,105.03,6,False,False,False,True,False,False,True,False,True,False,False,True,False
2024-05-21,False,Stop Loss,103.65,93.29,2,False,False,True,True,False,True,False,True,False,True,False,False,False
2024-05-22,False,Stop Loss,71.6,64.44,1,True,False,False,True,False,True,False,False,True,False,False,True,False
2024-05-24,False,Stop Loss,127.25,114.53,6,False,False,True,True,False,False,True,False,True,True,True,False,False
2024-05-28,False,Stop Loss,84.5,76.05,2,True,False,False,False,True,False,False,False,True,True,False,False,False
2024-05-29,True,Target Hit,67.15,107.44,1,False,False,True,False,True,True,False,True,False,False,True,False,True
2024-05-30,True,Target Hit,59.55,95.28,0,False,False,True,False,True,False,True,False,True,False,True,False,True
2024-05-31,False,11:15 exit,353.9,380.55,6,True,False,False,False,True,False,True,True,False,True,False,False,False
