date,status,reason,capital,exit_reason,net_pnl
2024-09-12,TRADE,,439302.73,STOP_LOSS,-4128.46
2024-09-13,TRADE,,402140.98,STOP_LOSS,-37161.75
2024-09-16,SKIP,Monday,402140.98,,
2024-09-17,NO_SIGNAL,no combo fired,402140.98,,
2024-09-18,NO_SIGNAL,no combo fired,402140.98,,
2024-09-19,NO_SIGNAL,no combo fired,402140.98,,
2024-09-20,TRADE,,363044.62,STOP_LOSS,-39096.36
2024-09-23,SKIP,Monday,363044.62,,
2024-09-24,NO_SIGNAL,no combo fired,363044.62,,
2024-09-25,NO_SIGNAL,no combo fired,363044.62,,
2024-09-26,NO_SIGNAL,no combo fired,363044.62,,
2024-09-27,NO_SIGNAL,no combo fired,363044.62,,
2024-09-30,SKIP,Monday,363044.62,,
2024-10-01,NO_SIGNAL,no combo fired,363044.62,,
2024-10-03,NO_SIGNAL,no combo fired,363044.62,,
2024-10-04,NO_SIGNAL,no combo fired,363044.62,,
2024-10-07,SKIP,Monday,363044.62,,
2024-10-08,NO_SIGNAL,no combo fired,363044.62,,
2024-10-09,TRADE,,331325.9,STOP_LOSS,-31718.72
2024-10-10,TRADE,,324648.48,STOP_LOSS,-6677.42
2024-10-11,NO_SIGNAL,no combo fired,324648.48,,
2024-10-14,SKIP,Monday,324648.48,,
2024-10-15,TRADE,,380288.89,TAKE_PROFIT,55640.42
2024-10-16,NO_SIGNAL,no combo fired,380288.89,,
2024-10-17,TRADE,,375894.9,STOP_LOSS,-4393.99
2024-10-18,NO_SIGNAL,no combo fired,375894.9,,
2024-10-21,SKIP,Monday,375894.9,,
2024-10-22,NO_SIGNAL,no combo fired,375894.9,,
2024-10-23,NO_SIGNAL,no combo fired,375894.9,,
2024-10-24,NO_SIGNAL,no combo fired,375894.9,,
2024-10-25,NO_SIGNAL,no combo fired,375894.9,,
2024-10-28,SKIP,Monday,375894.9,,
2024-10-29,NO_SIGNAL,no combo fired,375894.9,,
2024-10-30,NO_SIGNAL,no combo fired,375894.9,,
2024-10-31,NO_SIGNAL,no combo fired,375894.9,,
2024-11-04,SKIP,Monday,375894.9,,
2024-11-05,NO_SIGNAL,no combo fired,375894.9,,
2024-11-06,TRADE,,346205.33,STOP_LOSS,-29689.58
2024-11-07,NO_SIGNAL,no combo fired,346205.33,,
2024-11-08,NO_SIGNAL,no combo fired,346205.33,,
2024-11-11,SKIP,Monday,346205.33,,
2024-11-12,TRADE,,413922.58,TAKE_PROFIT,67717.25
2024-11-13,NO_SIGNAL,no combo fired,413922.58,,
2024-11-14,NO_SIGNAL,no combo fired,413922.58,,
