date,win,exit_reason,entry_prem,exit_prem,dte,Gap Up,Gap Up Strong,Gap Down,Prev India UP,Prev India DOWN,US UP,US DOWN,SGX UP,SGX DOWN,DAX UP,VIX Rising,VIX Falling,VIX Spike
2024-10-08,False,Stop Loss,150.35,127.8,2,False,False,False,False,True,False,True,False,True,False,True,False,True
2024-10-10,False,Stop Loss,58.3,49.55,0,True,False,False,False,True,True,False,True,False,True,False,True,False
2024-10-11,False,Stop Loss,124.0,105.4,6,False,False,False,True,False,False,True,True,False,False,False,False,False
2024-10-15,True,Target Hit,74.7,104.58,2,True,False,False,True,False,True,False,True,False,True,False,True,False
2024-10-16,False,Stop Loss,56.0,47.6,1,False,False,True,False,True,False,True,False,True,False,True,False,False
2024-10-17,False,Stop Loss,38.2,32.47,0,True,False,False,False,True,True,False,True,False,False,False,True,False
2024-10-18,False,Stop Loss,146.3,124.36,6,False,False,True,False,True,False,True,True,False,True,False,True,False
2024-10-22,False,Stop Loss,91.6,77.86,2,False,False,False,False,True,False,True,False,True,False,False,False,False
2024-10-23,False,Stop Loss,84.8,72.08,1,False,False,True,False,True,False,True,False,True,False,False,True,False
2024-10-25,False,Stop Loss,133.65,113.6,6,False,False,False,False,True,True,False,False,True,True,False,True,False
2024-10-29,True,Target Hit,95.9,134.26,2,False,False,False,True,False,True,False,False,True,True,False,True,False
2024-10-30,False,Stop Loss,76.9,65.37,1,False,False,True,True,False,True,False,True,False,False,False,True,False
2024-10-31,False,Stop Loss,41.4,35.19,0,False,False,False,False,True,False,True,False,True,False,True,False,True
2024-11-05,False,Stop Loss,167.3,142.21,2,False,False,True,False,True,False,True,True,False,False,False,False,False
2024-11-06,False,Stop Loss,102.4,87.04,1,True,False,False,True,False,True,False,True,False,True,False,True,False
2024-11-07,True,Target Hit,59.3,83.02,0,False,False,False,True,False,True,False,True,False,False,False,True,False
2024-11-08,False,Stop Loss,155.9,132.52,6,False,False,False,False,True,True,False,True,False,True,False,True,False
2024-11-12,True,Target Hit,90.95,127.33,2,True,False,False,False,True,True,False,True,False,True,False,False,False
2024-11-13,True,Target Hit,82.4,115.36,1,False,False,True,False,True,False,True,False,True,False,False,True,False
2024-11-14,False,Stop Loss,63.45,53.93,0,False,False,False,False,True,True,False,True,False,False,False,True,False
2024-11-19,False,Stop Loss,89.4,75.99,2,True,False,False,False,True,True,False,True,False,False,False,True,False
2024-11-21,False,Stop Loss,68.3,58.05,0,False,False,False,True,False,True,False,True,False,False,True,False,False
2024-11-22,False,Stop Loss,147.65,125.5,6,True,False,False,False,True,True,False,True,False,True,False,True,False
2024-11-26,True,Target Hit,105.7,147.98,2,True,True,False,True,False,True,False,False,True,True,False,True,False
2024-11-27,False,Stop Loss,76.15,64.73,1,False,False,False,False,True,True,False,False,True,False,False,True,False
2024-11-28,False,Stop Loss,41.65,35.4,0,False,False,False,True,False,False,True,False,True,False,False,False,False
2024-11-29,False,Stop Loss,139.6,118.66,6,False,False,False,False,True,False,False,False,True,True,False,False,False
2024-12-03,False,Stop Loss,129.19,109.81,2,True,False,False,True,False,True,False,True,False,True,False,True,False
2024-12-04,False,Stop Loss,115.0,97.75,1,False,False,False,True,False,True,False,True,False,True,False,True,False
2024-12-05,True,Target Hit,94.9,132.86,0,True,False,False,True,False,True,False,True,False,True,False,False,False
2024-12-10,False,Stop Loss,123.35,104.85,2,False,False,False,False,True,False,True,True,False,False,True,False,True
2024-12-11,False,Stop Loss,71.5,60.77,1,False,False,False,False,True,False,True,False,True,False,False,True,False
2024-12-12,True,Target Hit,21.4,29.96,0,False,False,True,True,False,True,False,True,False,True,False,True,False
2024-12-13,True,Target Hit,140.19,196.27,6,False,False,True,False,True,False,True,False,True,True,False,False,False
2024-12-17,True,Target Hit,128.94,180.52,2,False,False,True,False,True,True,False,True,False,False,True,False,True
2024-12-18,False,Stop Loss,88.6,75.31,1,False,False,True,False,True,False,True,False,True,False,True,False,True
